pmid,title,abstract,nct_id,label,failure_score,success_score
25278454,Pilot clinical trial of hedgehog pathway inhibitor GDC-0449 (vismodegib) in combination with gemcitabine in patients with metastatic pancreatic adenocarcinoma.,"The hedgehog (HH) signaling pathway is a key regulator in tumorigenesis of pancreatic adenocarcinoma and is upregulated in pancreatic adenocarcinoma cancer stem cells (CSCs). GDC-0449 is an oral small-molecule inhibitor of the HH pathway. This study assessed the effect of GDC-0449-mediated HH inhibition in paired biopsies, followed by combined treatment with gemcitabine, in patients with metastatic pancreatic adenocarcinoma. Twenty-five patients were enrolled of which 23 underwent core biopsies at baseline and following 3 weeks of GDC-0449. On day 29, 23 patients started weekly gemcitabine while continuing GDC-0449. We evaluated GLI1 and PTCH1 inhibition, change in CSCs, Ki-67, fibrosis, and assessed tumor response, survival and toxicity. On pretreatment biopsy, 75% of patients had elevated sonic hedgehog (SHH) expression. On posttreatment biopsy, GLI1 and PTCH1 decreased in 95.6% and 82.6% of 23 patients, fibrosis decreased in 45.4% of 22, and Ki-67 in 52.9% of 17 evaluable patients. No significant changes were detected in CSCs pre- and postbiopsy. The median progression-free and overall survival for all treated patients were 2.8 and 5.3 months. The response and disease control rate was 21.7% and 65.2%. No significant correlation was noted between CSCs, fibrosis, SHH, Ki-67, GLI1, PTCH1 (baseline values or relative change on posttreatment biopsy), and survival. Grade ≥ 3 adverse events were noted in 56% of patients. We show that GDC-0449 for 3 weeks leads to downmodulation of GLI1 and PTCH1, without significant changes in CSCs compared with baseline. GDC-0449 and gemcitabine were not superior to gemcitabine alone in the treatment of metastatic pancreatic cancer.",NCT01195415,-1,0,0
17470859,"Phase II trial of infusional fluorouracil, leucovorin, mitomycin, and dipyridamole in locally advanced unresectable pancreatic adenocarcinoma: SWOG S9700.","To test the hypothesis that dual biochemical modulation of fluorouracil (FU) in combination with mitomycin improves the survival of patients with pancreas cancer. Eligibility included stage II or III unresectable adenocarcinoma of the pancreas, performance status of 0 to 2, and adequate organ function. Treatment included FU 200 mg/m2/d via continuous intravenous infusion for 4 weeks followed by 1 week of rest; leucovorin 30 mg/m2 administered via intravenous bolus infusion on days 1, 8, 15, and 22, followed by 1 week rest; mitomycin 10 mg/m2 intravenous bolus infusion every 6 weeks for a total of four doses. Dipyridamole 75 mg was administered orally three times daily during the FU administration. Fifty patients (median age, 61 years; 23 males, 27 females) with localized unresectable pancreatic cancer were eligible for this trial. Twenty-seven patients survived past 1 year for a 1-year survival probability of 54% (95% CI, 40% to 68%). Overall, the objective response rate was 26% (confirmed and unconfirmed) in the 47 patients with measurable disease, with two complete responders. Six of the responding patients underwent curative successful resection of the tumor. The most common toxicity to treatment was stomatitis. Three patients had reversible hemolytic uremic syndrome. Five patients experienced grade 4 toxicity. There were no treatment-related deaths. Potential improvement in survival and resectability of localized unresectable pancreatic cancer may be attained without radiation. The strategy of dual biochemical modulation of FU warrants additional investigation in a randomized fashion.",NCT00003018,-1,0,0
15361643,Cancer and leukemia group B (CALGB) 89805: phase II chemoradiation trial using gemcitabine in patients with locoregional adenocarcinoma of the pancreas.,"Determine the safety and efficacy of twice weekly gemcitabine and concurrent radiation to the upper abdomen followed by weekly gemcitabine in patients with surgically staged, locally advanced pancreatic cancer. Patients with surgically staged, locally advanced, nonmetastatic adenocarcinoma of the pancreas were treated with intravenous gemcitabine administered twice weekly (40 mg/m2/d) for 5 wk concurrent with upper abdominal radiation (50.4 Gy in 180 cGy daily fractions over 5.5 wk). At the completion of the chemoradiation, patients without disease progression were given gemcitabine (1000 mg/m2) weekly for five cycles. Each cycle consisted of 3 wk of treatment followed by 1 wk without treatment. Disease progression and response were assessed at 6- to 8-wk intervals. From February through December 1999, 43 patients were entered into this phase II trial, 39 of whom were evaluable for treatment response. The median age was 59 yr (range: 39-84 yr); there were 18 males (47%) in the study. Grade III and IV hematologic toxicity occurred in 48 and 21% of patients, respectively, and was primarily leukocytopenia and neutropenia. Grade III and IV gastrointestinal toxicities occurred in 31 and 10% of patients, respectively. There was one death attributed to sepsis. The concurrent gemcitabine and radiation portion of the study was completed without treatment interruptions in 56% of patients. The overall median survival was 8.2 mo and the median survival in the 44% of patients demonstrating a sustained CA-19-9 response was 13.5 mo. Only six patients experienced local regional progression as their first site of failure. Two patients (5%) were still alive at 35 and 41 mo posttreatment. These results confirm the feasibility of twice weekly gemcitabine and radiation for the treatment of pancreatic cancer. Although this treatment strategy produced good local regional control, this did not result in a survival advantage. Stratifying patients by performance status and CA-19-9 response in future trials may be of value.",NCT00003546,-1,0,0
24982456,"Second-line oxaliplatin, folinic acid, and fluorouracil versus folinic acid and fluorouracil alone for gemcitabine-refractory pancreatic cancer: outcomes from the CONKO-003 trial.","To assess the efficacy of a second-line regimen of oxaliplatin and folinic acid-modulated fluorouracil in patients with advanced pancreatic cancer who have experienced progression while receiving gemcitabine monotherapy. A randomized, open-label, phase III study was conducted in 16 institutions throughout Germany. Recruitment ran from January 2004 until May 2007, and the last follow-up concluded in December 2012. Overall, 168 patients age 18 years or older who experienced disease progression during first-line gemcitabine therapy were randomly assigned to folinic acid and fluorouracil (FF) or oxaliplatin and FF (OFF). Patients were stratified according to the presence of metastases, duration of first-line therapy, and Karnofsky performance status. Median follow-up was 54.1 months, and 160 patients were eligible for the primary analysis. The median overall survival in the OFF group (5.9 months; 95% CI, 4.1 to 7.4) versus the FF group (3.3 months; 95% CI, 2.7 to 4.0) was significantly improved (hazard ratio [HR], 0.66; 95% CI, 0.48 to 0.91; log-rank P = .010). Time to progression with OFF (2.9 months; 95% CI, 2.4 to 3.2) versus FF (2.0 months; 95% CI, 1.6 to 2.3) was significantly extended also (HR, 0.68; 95% CI, 0.50 to 0.94; log-rank P = .019). Rates of adverse events were similar between treatment arms, with the exception of grades 1 to 2 neurotoxicity, which were reported in 29 patients (38.2%) and six patients (7.1%) in the OFF and FF groups, respectively (P < .001). Second-line OFF significantly extended the duration of overall survival when compared with FF alone in patients with advanced gemcitabine-refractory pancreatic cancer.",NCT02558868,1,0,1
27022826,Final analysis of a phase II study of modified FOLFIRINOX in locally advanced and metastatic pancreatic cancer.,"Modifications of FOLFIRINOX are widely used despite the absence of prospective data validating efficacy in metastatic disease (metastatic pancreatic cancer (MPC)) or locally advanced pancreatic cancer (LAPC). We conducted a multicentre phase II study of modified FOLFIRINOX in advanced pancreatic cancer to assess the impact of dose attenuation in MPC and efficacy in LAPC. Patients with untreated MPC or LAPC received modified FOLFIRINOX (irinotecan and bolus 5-fluorouracil reduced by 25%). Adverse events (AEs) were compared with full-dose FOLFIRINOX. Response rate (RR), median progression-free survival (PFS) and median overall survival (OS) were determined. In total, 31 and 44 patients with LAPC and MPC were enrolled, respectively. In MPC, efficacy of modified FOLFIRINOX was comparable with FOLFIRINOX with RR 35.1%, OS 10.2 months (95% CI 7.65-14.32) and PFS 6.1 months (95% CI 5.19-8.31). In LAPC, efficacy was notable with RR 17.2%, resection rate 41.9%, PFS 17.8 months (95% CI 11.0-23.9) and OS 26.6 months (95% CI 16.7, NA). Neutropenia (P<0.0001), vomiting (P<0.001) and fatigue (P=0.01) were significantly decreased. [(18)F]-Fluorodeoxyglucose positron emission tomography imaging response did not correlate with PFS or OS. In this first prospective study of modified FOLFIRINOX in MPC and LAPC, we observed decreased AEs compared with historical control patients. In MPC, the efficacy appears comparable with FOLFIRINOX. In LAPC, PFS and OS were prolonged and support the continued use of FOLFIRINOX in this setting.",NCT01523457,-1,0,0
36028483,The CCTG PA.7 phase II trial of gemcitabine and nab-paclitaxel with or without durvalumab and tremelimumab as initial therapy in metastatic pancreatic ductal adenocarcinoma.,"Immunotherapy-based monotherapy treatment in metastatic pancreatic ductal adenocarcinoma (mPDAC) has shown limited benefit outside of the mismatch repair deficiency setting, while safety and efficacy of combining dual-checkpoint inhibitor immunotherapy with chemotherapy remains uncertain. Here, we present results from the CCTG PA.7 study (NCT02879318), a randomized phase II trial comparing gemcitabine and nab-paclitaxel with and without immune checkpoint inhibitors durvalumab and tremelimumab in 180 patients with mPDAC. The primary endpoint was overall survival. Secondary endpoints included progression-free survival and objective response rate. Results of the trial were negative as combination immunotherapy did not improve survival among the unselected patient population (p = 0.72) and toxicity was limited to elevation of lymphocytes in the combination immunotherapy group (p = 0.02). Exploratory baseline circulating tumor DNA (ctDNA) sequencing revealed increased survival for patients with KRAS wildtype tumors in both the combination immunotherapy (p = 0.001) and chemotherapy (p = 0.004) groups. These data support the utility of ctDNA analysis in PDAC and the prognostic value of ctDNA-based KRAS mutation status.",NCT02879318,-1,0,0
28611200,Dendritic Cell/Cytokine-Induced Killer Cell Immunotherapy Combined with S-1 in Patients with Advanced Pancreatic Cancer: A Prospective Study.,"<b>Purpose:</b> Advanced pancreatic cancer has remained challenging to treat effectively. This study aimed to investigate the clinical effects and safety of immunotherapy with dendritic cells and cytokine-induced killer cells (DC-CIK) administered with the chemotherapy (CT) S-1 in this malignancy.<b>Experimental Design:</b> Consecutive patients (<i>n</i> = 47) with advanced pancreatic cancer were treated with either DC-CIK + S-1, DC-CIK alone, S-1 alone, or best supportive care.<b>Results:</b> DC-CIK plus S-1 produced significantly longer median OS and PFS (212 and 136 days) compared with DC-CIK (128 and 85 days), CT (141 and 92 days), or supportive care only (52 and 43 days; <i>P</i> < 0.001). After adjusting for competing risk factors, DC-CIK combined with S-1 and receipt of 2 or more cycles of DC-CIK treatment remained independent predictors of disease-free and overall survival (<i>P</i> < 0.05). Phenotypic analysis of PBMCs demonstrated that the CD3<sup>+</sup>, CD3<sup>+</sup>/CD4<sup>+</sup>, and CD8<sup>+</sup>/CD28<sup>+</sup> T-cell subsets were elevated (<i>P</i> < 0.05), while the CD3<sup>+</sup>/CD8<sup>+</sup>, CD3<sup>+</sup>/CD16<sup>+</sup>/CD56<sup>+</sup> and CD4<sup>+</sup>/CD25<sup>+</sup> cell subsets were significantly decreased after DC-CIK cell therapy (<i>P</i> < 0.05). There were no grade 3 or 4 toxicities. In addition, the mutational frequency in cell-free tumor DNA (cfDNA) declined in 4 of 14 patients who received DC-CIK, and was associated with a more favorable survival.<b>Conclusions:</b> Treatment of advanced pancreatic cancer with combined DC-CIK infusions and S-1 was safe, resulted in favorable PFS and OS, and modulated the peripheral blood immune repertoire. <i>Clin Cancer Res; 23(17); 5066-73. ©2017 AACR</i>.",NCT01781520,-1,0,0
19491904,Bevacizumab combined with gemcitabine and capecitabine for advanced pancreatic cancer: a phase II study.,"A total of 50 patients with advanced pancreatic cancer were enrolled in a phase II study of bevacizumab 15 mg kg(-1), capecitabine 1300 mg m(-2) daily for 2 weeks and gemcitabine 1000 mg m(-2) weekly 2 times; cycles were repeated every 21 days. Radiological response rate was 22%; progression-free survival and over survival were 5.8 and 9.8 months respectively. Grade 3 or 4 toxicities included neutropaenia (22%), thrombocytopaenia (14%), thromboembolic events (12%), hypertension (8%) and haemorrhage (6%).",NCT00100815,-1,0,0
27039845,Randomized Phase 2 Trial of the Oncolytic Virus Pelareorep (Reolysin) in Upfront Treatment of Metastatic Pancreatic Adenocarcinoma.,"Pelareorep causes oncolysis in tumor cells with activated Ras. We hypothesized that pelareorep would have efficacy and immunomodulatory activity in metastatic pancreatic adenocarcinoma (MPA) when combined with carboplatin and paclitaxel. A randomized phase 2 study (NCT01280058) was conducted in treatment-naive patients with MPA randomized to two treatment arms: paclitaxel/carboplatin + pelareorep (Arm A, n = 36 evaluable patients) versus paclitaxel/carboplatin (Arm B, n = 37 evaluable patients). There was no difference in progression-free survival (PFS) between the arms (Arm A PFS = 4.9 months, Arm B PFS = 5.2 months, P = 0.6), and Kirsten rat sarcoma viral oncogene (KRAS) status did not impact outcome. Quality-adjusted Time without Symptoms or Toxicity analysis revealed that the majority of PFS time was without toxicity or progression (4.3 months). Patient immunophenotype appeared important, as soluble immune biomarkers were associated with treatment outcome (fractalkine, interleukin (IL)-6, IL-8, regulated on activation, normal T cell expressed and secreted (RANTES), and vascular endothelial growth factor (VEGF)). Increased circulating T and natural killer (NK)-cell subsets were also significantly associated with treatment outcome. Addition of pelareorep was associated with higher levels of 14 proinflammatory plasma cytokines/chemokines and cells with an immunosuppressive phenotype (Tregs, cytotoxic T lymphocyte associated protein 4 (CTLA4)(+) T cells). Overall, pelareorep was safe but does not improve PFS when administered with carboplatin/paclitaxel, regardless of KRAS mutational status. Immunologic studies suggest that chemotherapy backbone improves immune reconstitution and that targeting remaining immunosuppressive mediators may improve oncolytic virotherapy.",NCT01280058,-1,0,0
33427657,"Randomized, Double-Blinded, Placebo-controlled Multicenter Adaptive Phase 1-2 Trial of GC 4419, a Dismutase Mimetic, in Combination with High Dose Stereotactic Body Radiation Therapy (SBRT) in Locally Advanced Pancreatic Cancer (PC).",,NCT03340974,-1,0,0
