enrollment,phase_numeric,duration_days,enrollment_log,start_year,era,n_interventions,n_drugs,has_biological,has_radiation,is_combination,is_industry,moa_chemo_nucleoside,moa_chemo_fluoropyrimidine,moa_chemo_platinum,moa_chemo_taxane,moa_chemo_topoisomerase,moa_chemo_combination,moa_chemo_alkylating,moa_targeted_egfr,moa_targeted_vegf,moa_immuno_checkpoint,moa_immuno_oncolytic,moa_immuno_cell_therapy,moa_targeted_mtor,moa_stroma_targeting,moa_targeted_il6,moa_anti_inflammatory,moa_anticoagulant,moa_other,moa_unknown,moa_chemo_antimetabolite,moa_targeted_her2,moa_targeted_ras_mapk,moa_targeted_pi3k_akt,moa_targeted_hedgehog,moa_targeted_parp,moa_targeted_igf1r,moa_targeted_src,moa_targeted_hsp90,moa_targeted_adc,moa_targeted_autophagy,moa_immuno_vaccine,moa_immuno_cytokine,moa_somatostatin_analog,moa_supportive,moa_diagnostic,moa_control,elig_kras_required,elig_brca_required,elig_pdl1_required,elig_her2_required,elig_msi_required,elig_biomarker_any,elig_resectable,elig_unresectable,elig_metastatic,elig_locally_advanced,elig_adjuvant,elig_ecog_strict,elig_first_line,elig_second_line,elig_ca199
80.0,2.0,852.0,4.394449154672439,2015,1,2,2.0,0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75.0,2.0,1522.0,4.330733340286331,2011,0,1,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
73.0,2.0,1846.0,4.30406509320417,2010,0,4,2.0,1.0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
342.0,2.5,2038.0,5.8377304471659395,2004,0,5,5.0,0.0,0.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
30.0,2.0,1706.0,3.4339872044851463,2009,0,2,2.0,0.0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0
861.0,3.0,1500.0,6.759255270663693,2009,0,2,2.0,0.0,0.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
160.0,3.0,1675.0,5.081404364984463,2011,0,3,3.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
89.0,3.0,2497.0,4.499809670330265,2009,0,1,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114.0,2.0,1430.0,4.74493212836325,2009,0,4,2.0,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
32.0,2.0,2008.0,3.4965075614664802,2003,0,2,2.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
33.0,1.5,820.0,3.5263605246161616,2008,0,2,2.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
319.0,3.0,2496.0,5.768320995793772,2001,0,2,2.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
1030.0,3.0,3348.0,6.93828448401696,2001,0,4,3.0,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
25.0,2.0,2008.0,3.258096538021482,2003,0,2,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
518.0,3.0,1551.0,6.251903883165888,1998,0,3,2.0,0.0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
42.0,3.0,2343.0,3.7612001156935624,2013,1,2,2.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508.0,3.0,1857.0,6.2324480165505225,2002,0,2,2.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
