nct_id,pmid,title,abstract,label,source,confidence,primary_endpoint,reasoning,phase,overall_status,enrollment,start_date,completion_date,why_stopped
NCT02558868,24982456,"Second-line oxaliplatin, folinic acid, and fluorouracil versus folinic acid and fluorouracil alone for gemcitabine-refractory pancreatic cancer: outcomes from the CONKO-003 trial.","To assess the efficacy of a second-line regimen of oxaliplatin and folinic acid-modulated fluorouracil in patients with advanced pancreatic cancer who have experienced progression while receiving gemcitabine monotherapy. A randomized, open-label, phase III study was conducted in 16 institutions throughout Germany. Recruitment ran from January 2004 until May 2007, and the last follow-up concluded in December 2012. Overall, 168 patients age 18 years or older who experienced disease progression during first-line gemcitabine therapy were randomly assigned to folinic acid and fluorouracil (FF) or oxaliplatin and FF (OFF). Patients were stratified according to the presence of metastases, duration of first-line therapy, and Karnofsky performance status. Median follow-up was 54.1 months, and 160 patients were eligible for the primary analysis. The median overall survival in the OFF group (5.9 months; 95% CI, 4.1 to 7.4) versus the FF group (3.3 months; 95% CI, 2.7 to 4.0) was significantly improved (hazard ratio [HR], 0.66; 95% CI, 0.48 to 0.91; log-rank P = .010). Time to progression with OFF (2.9 months; 95% CI, 2.4 to 3.2) versus FF (2.0 months; 95% CI, 1.6 to 2.3) was significantly extended also (HR, 0.68; 95% CI, 0.50 to 0.94; log-rank P = .019). Rates of adverse events were similar between treatment arms, with the exception of grades 1 to 2 neurotoxicity, which were reported in 29 patients (38.2%) and six patients (7.1%) in the OFF and FF groups, respectively (P < .001). Second-line OFF significantly extended the duration of overall survival when compared with FF alone in patients with advanced gemcitabine-refractory pancreatic cancer.",SUCCESS,regex,HIGH,,,PHASE2,COMPLETED,80.0,2015-09-01,2017-12-31,
NCT01523457,27022826,Final analysis of a phase II study of modified FOLFIRINOX in locally advanced and metastatic pancreatic cancer.,"Modifications of FOLFIRINOX are widely used despite the absence of prospective data validating efficacy in metastatic disease (metastatic pancreatic cancer (MPC)) or locally advanced pancreatic cancer (LAPC). We conducted a multicentre phase II study of modified FOLFIRINOX in advanced pancreatic cancer to assess the impact of dose attenuation in MPC and efficacy in LAPC. Patients with untreated MPC or LAPC received modified FOLFIRINOX (irinotecan and bolus 5-fluorouracil reduced by 25%). Adverse events (AEs) were compared with full-dose FOLFIRINOX. Response rate (RR), median progression-free survival (PFS) and median overall survival (OS) were determined. In total, 31 and 44 patients with LAPC and MPC were enrolled, respectively. In MPC, efficacy of modified FOLFIRINOX was comparable with FOLFIRINOX with RR 35.1%, OS 10.2 months (95% CI 7.65-14.32) and PFS 6.1 months (95% CI 5.19-8.31). In LAPC, efficacy was notable with RR 17.2%, resection rate 41.9%, PFS 17.8 months (95% CI 11.0-23.9) and OS 26.6 months (95% CI 16.7, NA). Neutropenia (P<0.0001), vomiting (P<0.001) and fatigue (P=0.01) were significantly decreased. [(18)F]-Fluorodeoxyglucose positron emission tomography imaging response did not correlate with PFS or OS. In this first prospective study of modified FOLFIRINOX in MPC and LAPC, we observed decreased AEs compared with historical control patients. In MPC, the efficacy appears comparable with FOLFIRINOX. In LAPC, PFS and OS were prolonged and support the continued use of FOLFIRINOX in this setting.",SUCCESS,regex,HIGH,,,PHASE2,COMPLETED,75.0,2011-10-31,2015-12-31,
NCT01280058,27039845,Randomized Phase 2 Trial of the Oncolytic Virus Pelareorep (Reolysin) in Upfront Treatment of Metastatic Pancreatic Adenocarcinoma.,"Pelareorep causes oncolysis in tumor cells with activated Ras. We hypothesized that pelareorep would have efficacy and immunomodulatory activity in metastatic pancreatic adenocarcinoma (MPA) when combined with carboplatin and paclitaxel. A randomized phase 2 study (NCT01280058) was conducted in treatment-naive patients with MPA randomized to two treatment arms: paclitaxel/carboplatin + pelareorep (Arm A, n = 36 evaluable patients) versus paclitaxel/carboplatin (Arm B, n = 37 evaluable patients). There was no difference in progression-free survival (PFS) between the arms (Arm A PFS = 4.9 months, Arm B PFS = 5.2 months, P = 0.6), and Kirsten rat sarcoma viral oncogene (KRAS) status did not impact outcome. Quality-adjusted Time without Symptoms or Toxicity analysis revealed that the majority of PFS time was without toxicity or progression (4.3 months). Patient immunophenotype appeared important, as soluble immune biomarkers were associated with treatment outcome (fractalkine, interleukin (IL)-6, IL-8, regulated on activation, normal T cell expressed and secreted (RANTES), and vascular endothelial growth factor (VEGF)). Increased circulating T and natural killer (NK)-cell subsets were also significantly associated with treatment outcome. Addition of pelareorep was associated with higher levels of 14 proinflammatory plasma cytokines/chemokines and cells with an immunosuppressive phenotype (Tregs, cytotoxic T lymphocyte associated protein 4 (CTLA4)(+) T cells). Overall, pelareorep was safe but does not improve PFS when administered with carboplatin/paclitaxel, regardless of KRAS mutational status. Immunologic studies suggest that chemotherapy backbone improves immune reconstitution and that targeting remaining immunosuppressive mediators may improve oncolytic virotherapy.",FAILURE,regex,HIGH,,,PHASE2,COMPLETED,73.0,2010-12-31,2016-01-20,
NCT00112658,21561347,FOLFIRINOX versus gemcitabine for metastatic pancreatic cancer.,"Data are lacking on the efficacy and safety of a combination chemotherapy regimen consisting of oxaliplatin, irinotecan, fluorouracil, and leucovorin (FOLFIRINOX) as compared with gemcitabine as first-line therapy in patients with metastatic pancreatic cancer. We randomly assigned 342 patients with an Eastern Cooperative Oncology Group performance status score of 0 or 1 (on a scale of 0 to 5, with higher scores indicating a greater severity of illness) to receive FOLFIRINOX (oxaliplatin, 85 mg per square meter of body-surface area; irinotecan, 180 mg per square meter; leucovorin, 400 mg per square meter; and fluorouracil, 400 mg per square meter given as a bolus followed by 2400 mg per square meter given as a 46-hour continuous infusion, every 2 weeks) or gemcitabine at a dose of 1000 mg per square meter weekly for 7 of 8 weeks and then weekly for 3 of 4 weeks. Six months of chemotherapy were recommended in both groups in patients who had a response. The primary end point was overall survival. The median overall survival was 11.1 months in the FOLFIRINOX group as compared with 6.8 months in the gemcitabine group (hazard ratio for death, 0.57; 95% confidence interval [CI], 0.45 to 0.73; P<0.001). Median progression-free survival was 6.4 months in the FOLFIRINOX group and 3.3 months in the gemcitabine group (hazard ratio for disease progression, 0.47; 95% CI, 0.37 to 0.59; P<0.001). The objective response rate was 31.6% in the FOLFIRINOX group versus 9.4% in the gemcitabine group (P<0.001). More adverse events were noted in the FOLFIRINOX group; 5.4% of patients in this group had febrile neutropenia. At 6 months, 31% of the patients in the FOLFIRINOX group had a definitive degradation of the quality of life versus 66% in the gemcitabine group (hazard ratio, 0.47; 95% CI, 0.30 to 0.70; P<0.001). As compared with gemcitabine, FOLFIRINOX was associated with a survival advantage and had increased toxicity. FOLFIRINOX is an option for the treatment of patients with metastatic pancreatic cancer and good performance status. (Funded by the French government and others; ClinicalTrials.gov number, NCT00112658.).",SUCCESS,regex,HIGH,,,PHASE2/PHASE3,COMPLETED,342.0,2004-11-30,2010-06-30,
NCT00810719,25091263,Pharmacodynamic separation of gemcitabine and erlotinib in locally advanced or metastatic pancreatic cancer: therapeutic and biomarker results.,"Erlotinib marginally improves survival when administered continuously with gemcitabine to patients with advanced pancreatic cancer; however, preclinical data suggest that there is antagonism between chemotherapy and epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors when these are delivered concurrently. We tested a pharmacodynamic separation approach for erlotinib plus gemcitabine and interrogated EGFR signaling intermediates as potential surrogates for the efficacy of this strategy. Patients with measurable, previously untreated locally advanced unresectable or metastatic pancreatic cancer were treated with gemcitabine 1000 mg/m(2) as an intravenous infusion over 30-min on days 1, 8, 15 and erlotinib 150 mg/day on days 2-5, 9-12, 16-26 of each 28-day cycle. The primary endpoint was progression-free survival (PFS); secondary endpoints included RECIST objective response rate (ORR) and safety. The study was terminated after thirty patients due to funding considerations. The median PFS was 2.07 months (95% CI; 1.87-5.50 months) and the ORR was 11%. No unexpected safety signals were seen: the most common grade 3 or higher adverse events were neutropenia (23%), lymphopenia (23%), and fatigue (13%). Patients with mutant plasma Kirsten rat sarcoma virus (KRAS) had significantly lower median PFS (1.8 vs. 4.6 months, p = 0.014) and overall survival (3.0 vs. 10.5 months, p = 0.003) than those without detected plasma KRAS mutations. Although pharmacodynamically separated erlotinib and gemcitabine were feasible and tolerable in patients with advanced pancreatic cancer, no signal for increased efficacy was seen in this molecularly unselected cohort. Detection of a KRAS mutation in circulating cell-free DNA was a strong predictor of survival.",SUCCESS,regex,HIGH,,,PHASE2,COMPLETED,30.0,2009-04-30,2013-12-31,
NCT00844649,24131140,Increased survival in pancreatic cancer with nab-paclitaxel plus gemcitabine.,"In a phase 1-2 trial of albumin-bound paclitaxel (nab-paclitaxel) plus gemcitabine, substantial clinical activity was noted in patients with advanced pancreatic cancer. We conducted a phase 3 study of the efficacy and safety of the combination versus gemcitabine monotherapy in patients with metastatic pancreatic cancer. We randomly assigned patients with a Karnofsky performance-status score of 70 or more (on a scale from 0 to 100, with higher scores indicating better performance status) to nab-paclitaxel (125 mg per square meter of body-surface area) followed by gemcitabine (1000 mg per square meter) on days 1, 8, and 15 every 4 weeks or gemcitabine monotherapy (1000 mg per square meter) weekly for 7 of 8 weeks (cycle 1) and then on days 1, 8, and 15 every 4 weeks (cycle 2 and subsequent cycles). Patients received the study treatment until disease progression. The primary end point was overall survival; secondary end points were progression-free survival and overall response rate. A total of 861 patients were randomly assigned to nab-paclitaxel plus gemcitabine (431 patients) or gemcitabine (430). The median overall survival was 8.5 months in the nab-paclitaxel-gemcitabine group as compared with 6.7 months in the gemcitabine group (hazard ratio for death, 0.72; 95% confidence interval [CI], 0.62 to 0.83; P<0.001). The survival rate was 35% in the nab-paclitaxel-gemcitabine group versus 22% in the gemcitabine group at 1 year, and 9% versus 4% at 2 years. The median progression-free survival was 5.5 months in the nab-paclitaxel-gemcitabine group, as compared with 3.7 months in the gemcitabine group (hazard ratio for disease progression or death, 0.69; 95% CI, 0.58 to 0.82; P<0.001); the response rate according to independent review was 23% versus 7% in the two groups (P<0.001). The most common adverse events of grade 3 or higher were neutropenia (38% in the nab-paclitaxel-gemcitabine group vs. 27% in the gemcitabine group), fatigue (17% vs. 7%), and neuropathy (17% vs. 1%). Febrile neutropenia occurred in 3% versus 1% of the patients in the two groups. In the nab-paclitaxel-gemcitabine group, neuropathy of grade 3 or higher improved to grade 1 or lower in a median of 29 days. In patients with metastatic pancreatic adenocarcinoma, nab-paclitaxel plus gemcitabine significantly improved overall survival, progression-free survival, and response rate, but rates of peripheral neuropathy and myelosuppression were increased. (Funded by Celgene; ClinicalTrials.gov number, NCT00844649.).",SUCCESS,regex,HIGH,,,PHASE3,COMPLETED,861.0,2009-03-01,2013-04-09,
NCT01360853,26091808,A phase II/III randomized study to compare the efficacy and safety of rigosertib plus gemcitabine versus gemcitabine alone in patients with previously untreated metastatic pancreatic cancer.,"Rigosertib (ON 01910.Na), a first-in-class Ras mimetic and small-molecule inhibitor of multiple signaling pathways including polo-like kinase 1 (PLK1) and phosphoinositide 3-kinase (PI3K), has shown efficacy in preclinical pancreatic cancer models. In this study, rigosertib was assessed in combination with gemcitabine in patients with treatment-naïve metastatic pancreatic adenocarcinoma. Patients with metastatic pancreatic adenocarcinoma were randomized in a 2:1 fashion to gemcitabine 1000 mg/m(2) weekly for 3 weeks of a 4-week cycle plus rigosertib 1800 mg/m(2) via 2-h continuous IV infusions given twice weekly for 3 weeks of a 4-week cycle (RIG + GEM) versus gemcitabine 1000 mg/m(2) weekly for 3 weeks in a 4-week cycle (GEM). A total of 160 patients were enrolled globally and randomly assigned to RIG + GEM (106 patients) or GEM (54). The most common grade 3 or higher adverse events were neutropenia (8% in the RIG + GEM group versus 6% in the GEM group), hyponatremia (17% versus 4%), and anemia (8% versus 4%). The median overall survival was 6.1 months for RIG + GEM versus 6.4 months for GEM [hazard ratio (HR), 1.24; 95% confidence interval (CI) 0.85-1.81]. The median progression-free survival was 3.4 months for both groups (HR = 0.96; 95% CI 0.68-1.36). The partial response rate was 19% versus 13% for RIG + GEM versus GEM, respectively. Of 64 tumor samples sent for molecular analysis, 47 were adequate for multiplex genetic testing and 41 were positive for mutations. The majority of cases had KRAS gene mutations (40 cases). Other mutations detected included TP53 (13 cases) and PIK3CA (1 case). No correlation between mutational status and efficacy was detected. The combination of RIG + GEM failed to demonstrate an improvement in survival or response compared with GEM in patients with metastatic pancreatic adenocarcinoma. Rigosertib showed a similar safety profile to that seen in previous trials using the IV formulation.",FAILURE,regex,HIGH,,,PHASE3,COMPLETED,160.0,2011-05-31,2015-12-31,
NCT00842348,26743120,Anti-tumour effects of lanreotide for pancreatic and intestinal neuroendocrine tumours: the CLARINET open-label extension study.,"In the CLARINET study, lanreotide Autogel (depot in USA) significantly prolonged progression-free survival (PFS) in patients with metastatic pancreatic/intestinal neuroendocrine tumours (NETs). We report long-term safety and additional efficacy data from the open-label extension (OLE). Patients with metastatic grade 1/2 (Ki-67 ≤ 10%) non-functioning NET and documented baseline tumour-progression status received lanreotide Autogel 120 mg (n = 101) or placebo (n = 103) for 96 weeks or until death/progressive disease (PD) in CLARINET study. Patients with stable disease (SD) at core study end (lanreotide/placebo) or PD (placebo only) continued or switched to lanreotide in the OLE. In total, 88 patients (previously: lanreotide, n = 41; placebo, n = 47) participated: 38% had pancreatic, 39% midgut and 23% other/unknown primary tumours. Patients continuing lanreotide reported fewer adverse events (AEs) (all and treatment-related) during OLE than core study. Placebo-to-lanreotide switch patients reported similar AE rates in OLE and core studies, except more diarrhoea was considered treatment-related in OLE (overall diarrhoea unchanged). Median lanreotide PFS (core study randomisation to PD in core/OLE; n=101) was 32.8 months (95% CI: 30.9, 68.0). A sensitivity analysis, addressing potential selection bias by assuming that patients with SD on lanreotide in the core study and not entering the OLE (n=13) had PD 24 weeks after last core assessment, found median PFS remaining consistent: 30.8 months (95% CI: 30.0, 31.3). Median time to further PD after placebo-to-lanreotide switch (n=32) was 14.0 months (10.1; not reached). This OLE study suggests long-term treatment with lanreotide Autogel 120 mg maintained favourable safety/tolerability. CLARINET OLE data also provide new evidence of lanreotide anti-tumour benefits in indolent and progressive pancreatic/intestinal NETs.",SUCCESS,regex,HIGH,,,PHASE3,COMPLETED,89.0,2009-02-28,2015-12-31,
NCT01032057,27497804,Comparison of investigator-delineated gross tumour volumes and quality assurance in pancreatic cancer: Analysis of the on-trial cases for the SCALOP trial.,"We performed a retrospective central review of tumour outlines in patients undergoing radiotherapy in the SCALOP trial. The planning CT scans were reviewed retrospectively by a central review team, and the accuracy of investigators' GTV (iGTV) and PTV (iPTV) was compared to the trials team-defined gold standard (gsGTV and gsPTV) using the Jaccard Conformity Index (JCI) and Geographical Miss Index (GMI). The prognostic value of JCI and GMI was also assessed. The RT plans were also reviewed against protocol-defined constraints. 60 patients with diagnostic-quality planning scans were included. The median whole volume JCI for GTV was 0.64 (IQR: 0.43-0.82), and the median GMI was 0.11 (IQR: 0.05-0.22). For PTVs, the median JCI and GMI were 0.80 (IQR: 0.71-0.88) and 0.04 (IQR: 0.02-0.12) respectively. Tumour was completely missed in 1 patient, and⩾50% of the tumour was missed in 3. Patients with JCI for GTV⩾0.7 had 7.12 (95% CIs: 1.83-27.67, p=0.005) higher odds of progressing by 9months in multivariate analysis. Major deviations in RT planning were noted in 4.5% of cases. Radiotherapy workshops and real-time central review of contours are required in RT trials of pancreatic cancer.",SUCCESS,regex,HIGH,,,PHASE2,COMPLETED,114.0,2009-07-31,2013-06-30,
NCT00066677,20458210,Phase II and coagulation cascade biomarker study of bevacizumab with or without docetaxel in patients with previously treated metastatic pancreatic adenocarcinoma.,"Treatment options are limited for advanced pancreatic cancer progressive after gemcitabine therapy. The vascular endothelial growth factor pathway is biologically important in pancreatic cancer, and docetaxel has modest antitumor activity. We evaluated the role of the anti-vascular endothelial growth factor antibody bevacizumab as second-line treatment for patients with metastatic pancreatic cancer. Patients with metastatic adenocarcinoma of the pancreas who had progressive disease on a gemcitabine-containing regimen were randomized to receive bevacizumab alone or bevacizumab in combination with docetaxel. Thirty-two patients were enrolled; 16 to bevacizumab alone (Arm A) and 16 to bevacizumab plus docetaxel (Arm B). Toxicities were greater in Arm B with the most common grade 3/4 nonhematologic toxicities including fatigue, diarrhea, dehydration, and anorexia. No confirmed objective responses were observed. At 4 months, 2 of the 16 patients in Arm A and 3 of the 16 patients in Arm B were free from progression. The study was stopped according to the early stopping rule for futility. Median progression-free survival and overall survival were 43 days and 165 days in Arm A and 48 days and 125 days in Arm B. Elevated d-dimer levels and thrombin-antithrombin complexes were associated with decreased survival and increased toxicity. Bevacizumab with or without docetaxel does not have antitumor activity in gemcitabine-refractory metastatic pancreatic cancer. Baseline and on-treatment d-dimer and thrombin-antithrombin complex levels are associated with increased toxicity and decreased survival.",FAILURE,regex,HIGH,,,PHASE2,TERMINATED,32.0,2003-10-31,2009-04-30,
